item_id,tier,is_mcq,gold_provenance,adapter_voted_answer,adapter_votes,base_voted_answer,gold_answer,adapter_correct,base_correct,adapter_correct_strict,base_correct_strict,classification
824,T2,True,HIGH,C,3/3,C,C,True,True,True,True,both_correct
826,T2,False,HIGH,1800,3/3,1800,1800,True,True,True,True,both_correct
827,T2,True,HIGH,H,3/3,H,H,True,True,True,True,both_correct
831,T4,True,HIGH,C,2/3,E,E,False,True,False,True,adapter_loss
832,T2,True,HIGH,J,3/3,J,J,True,True,True,True,both_correct
835,T2,False,HIGH,126,3/3,126,126,True,True,True,True,both_correct
837,T2,True,HIGH,D,3/3,D,D,True,True,True,True,both_correct
838,T2,False,MED,"(23.66, 28.34)",3/3,"(23.66, 28.34)","(23.66,28.34)",True,True,True,True,both_correct
839,T2,True,HIGH,G,3/3,"G, G",G,True,True,True,False,both_correct
840,T4,True,HIGH,F,3/3,F,F,True,True,True,True,both_correct
844,T3,True,MED,J,3/3,J,J,True,True,True,True,both_correct
845,T2,False,HIGH,5,3/3,5,5,True,True,True,True,both_correct
846,T2,False,HIGH,"3,1,2,3,-2",3/3,"3, 1, 2, 3, -2","3,1,2,3,-2",True,True,True,True,both_correct
847,T2,True,HIGH,H,3/3,H,H,True,True,True,True,both_correct
848,T2,True,HIGH,E,3/3,E,E,True,True,True,True,both_correct
850,T2,True,HIGH,C,3/3,C,C,True,True,True,True,both_correct
853,T2,True,HIGH,C,3/3,C,C,True,True,True,True,both_correct
855,T2,False,HIGH,"20000,2000",3/3,"20000, 2000","20000,2000",True,True,True,True,both_correct
860,T2,False,HIGH,22,3/3,22,22,True,True,True,True,both_correct
861,T2,True,HIGH,G,3/3,G,G,True,True,True,True,both_correct
862,T2,True,HIGH,I,3/3,I,I,True,True,True,True,both_correct
866,T2,True,HIGH,H,3/3,H,H,True,True,True,True,both_correct
867,T2,True,HIGH,E,3/3,E,E,True,True,True,True,both_correct
870,T2,True,HIGH,D,3/3,D,D,True,True,True,True,both_correct
871,T2,True,HIGH,G,3/3,G,G,True,True,True,True,both_correct
874,T3,True,HIGH,J,3/3,J,J,True,True,True,True,both_correct
875,T2,True,HIGH,C,3/3,C,C,True,True,True,True,both_correct
876,T2,True,HIGH,C,3/3,C,C,True,True,True,True,both_correct
877,T2,True,HIGH,F,3/3,F,F,True,True,True,True,both_correct
878,T3,True,HIGH,I,3/3,I,I,True,True,True,True,both_correct
879,T2,True,HIGH,H,3/3,H,H,True,True,True,True,both_correct
881,T2,True,HIGH,D,3/3,D,D,True,True,True,True,both_correct
882,T2,False,HIGH,"1200,3600",3/3,"1200, 3600","1200,3600",True,True,True,True,both_correct
888,T2,True,HIGH,I,3/3,I,I,True,True,True,True,both_correct
891,T2,True,HIGH,A,3/3,A,A,True,True,True,True,both_correct
892,T2,False,HIGH,69.65,3/3,69.65,69.65,True,True,True,True,both_correct
893,T2,False,HIGH,"A,C",3/3,"A, C","A,C",True,True,True,True,both_correct
898,T2,False,HIGH,48,3/3,48,48,True,True,True,True,both_correct
899,T2,True,HIGH,D,3/3,D,D,True,True,True,True,both_correct
900,T2,False,HIGH,"1200,3600",3/3,"1200, 3600","1200,3600",True,True,True,True,both_correct
903,T2,False,HIGH,"A,C",3/3,"A, C","A,C",True,True,True,True,both_correct
905,T2,False,HIGH,"B,C",3/3,"B, C","B,C",True,True,True,True,both_correct
909,T2,False,HIGH,1520,3/3,1520,1520,True,True,True,True,both_correct
910,T2,False,HIGH,"1134,16",3/3,"1134, 16","1134,16",True,True,True,True,both_correct
913,T2,True,HIGH,G,3/3,G,G,True,True,True,True,both_correct
920,T2,False,HIGH,178,3/3,178,178,True,True,True,True,both_correct
921,T2,True,HIGH,D,3/3,D,D,True,True,True,True,both_correct
922,T2,True,HIGH,B,3/3,B,B,True,True,True,True,both_correct
928,T2,True,HIGH,E,3/3,E,E,True,True,True,True,both_correct
930,T2,True,HIGH,E,3/3,E,E,True,True,True,True,both_correct
931,T2,False,HIGH,"3,-3",3/3,"3, -3","3,-3",True,True,True,True,both_correct
932,T2,False,HIGH,26,3/3,26,26,True,True,True,True,both_correct
933,T2,True,HIGH,E,3/3,E,E,True,True,True,True,both_correct
937,T2,False,HIGH,640,3/3,640,640,True,True,True,True,both_correct
939,T2,True,HIGH,E,3/3,E,E,True,True,True,True,both_correct
940,T2,True,HIGH,B,3/3,B,B,True,True,True,True,both_correct
941,T2,False,HIGH,"A,C,A,A,B,C",3/3,"A, C, A, A, B, C","A,C,A,A,B,C",True,True,True,True,both_correct
942,T2,False,HIGH,36,3/3,36,36,True,True,True,True,both_correct
