item_id,category,question_preview,sheet_best_answer,sheet_confidence,sheet_tier,sheet_n_agree,sheet_evidence,teacher_sonnet,teacher_gpt4,teacher_oss,wolfram_answer,wolfram_confidence,search_status,search_answer,search_source,backsolve_answer,backsolve_confidence,backsolve_tier
94,MCQ,The option that represents the area of the plane figure enclosed by ( x = 1 - {y^2};;x = 0 ) is,C,93.67,2,22,backsolve+sub+teacher,C,C,C,,,,,,C,99.0,1
95,FREE,Let $\triangle A B C$ be an isosceles triangle with $A B=A C$. Let $D$ be a point on the circumcircle of $\triangle A B ,12,36.24,5,11,backsolve+sub+teacher,\frac{16}{3},6,,,,,,,12,95.51,1
96,FREE,A baby was born $2$ years ago. In these $2$ years; the baby grew $13.6$ pounds. The baby’s current weight is $22.2$ poun,158\%,47.89,5,6,sub+teacher,158\%,158\%,158\%,,,,,,159,45.37,4
97,FREE,The equation $r=8 \sin \theta$ represents a circle. Find the cartesian coordinates of the center: x=[ANS] y=[ANS] and th,"0,4,4",82.55,3,17,backsolve+sub+teacher,"0,4,4","0,4,4","0,4,4",,,GOLD,"x=0, y=4, r=4",https://homework.study.com/,"0, 4, 4",88.82,2
98,MCQ,A deck of playing cards has 52 cards; and each shuffle changes the order of the cards; which is a permutation. If each s,A,91.79,2,21,backsolve+sub+teacher,A,A,A,,,,,,A,99.0,1
99,FREE,Evaluate the following expressions which involve the absolute value: ${-\lvert 3-9 \rvert=}$ [ANS] ${\lvert-3-9 \rvert=},"-6,12,-6",89.93,2,20,backsolve+sub+teacher,"-6,12,-6","-6,12,-6","-6,12,-6",,,,,,"-6, 12, -6",97.68,1
100,FREE,A jeweler has five rings; each weighing $18$ grams; made of an alloy of $10$ \% silver and $90$ \% gold. He decides to m,\frac{180}{7},68.77,4,12,backsolve+sub+teacher+wolfram,\frac{180}{7},\frac{180}{7},\frac{180}{7},\frac{180}{7},HIGH,,,,\frac{180}{7}\text{ grams},55.37,4
101,FREE,Consider a hypothesis test to decide whether the mean cost to community hospitals per patient per day in Ohio exceed the,"C,C,A,C",87.98,2,19,backsolve+sub+teacher,"C,C,A,C","C,C,A,C","C,C,A,C",,,,,,"C, C, A, C",97.68,1
102,MCQ,Let $C \subset\mathbb{P}^{3}$ be a smooth; irreducible; nondegenerate curve of degree $4$\ What is the maximum value of ,I,39.63,5,5,sub+teacher,I,I,I,,,,,,E,70.82,3
103,FREE,If the distance from the town of Bree to Weathertop is 16 miles on a 45 degree upward slope; what is the elevation gain ,8\sqrt{2},56.01,5,10,sub+teacher+wolfram,8\sqrt{2},8\sqrt{2},8\sqrt2,8\sqrt{2},HIGH,,,,8\sqrt2,45.37,4
104,FREE,Find the arc length corresponding to the given angle (in degrees) on a circle of radius 7.7. An angle of $31^{\circ}$ ha,4.166,44.1,5,16,backsolve+sub+teacher,\frac{2387\pi}{1800} = 4.166,\frac{2387\pi}{1800},\frac{2387\pi}{1800},,,GOLD,7.7*31*pi/180,computed,4.166,85.57,2
105,FREE,A sample of weights (in pounds) for six 12-year-olds is given below: 93 \quad 84 \quad 81 \quad 94 \quad 99 \quad 75 Fin,"24,9.11",39.63,5,5,sub+teacher,"24, 9.11","24,9.11","24,9.11",,,,,,"24.00, 9.114",64.37,3
106,FREE,After robbing a bank in Dodge City; a robber gallops off at 13 mi/h. 30 minutes later; the marshall leaves to pursue the,\frac{13}{6},68.77,4,12,backsolve+sub+teacher+wolfram,\frac{13}{6},\frac{13}{6},\frac{13}{6},\frac{13}{6},HIGH,,,,\frac{13}{6}\text{ hours},55.37,4
107,MCQ,A ray of light passing through the point $A\left( 2;3 \right)$ reflected at a point B on line $x+y=0$ and then passes th,J,85.4,2,21,backsolve+sub+teacher,J,J,J,,,,,,J,99.0,1
108,FREE,Using a double-angle or half-angle formula to simplify the given expressions. (a) If $\cos^2 36^\circ-\sin^2 36^\circ=\c,"72,12x",85.26,2,18,backsolve+sub+teacher,"72, 12x","72,12x","72,12x",,,GOLD,"A=72, B=12x",computed,"72, 12x",88.82,2
109,MCQ,Find theeigenvaluesof matrices (a)\vert31\vert \vert13\vert (b)\vert221\vert \vert131\vert \vert122\vert (c)\vert2- 10\v,B,85.4,2,21,backsolve+sub+teacher,B,B,B,,,,,,B,99.0,1
110,FREE,A national park records data regarding the total fox population $F$ over a 12 month period; where $t=0$ means January 1;,"3,9",70.84,4,19,backsolve+sub+teacher,"3,9","A,3,9","3,9",,,,,,"3, 9",53.13,4
111,FREE,Simplify the following expression as much as possible. Assume that all variables are positive. $\sqrt[4]{64x^{5}} \; \sq,8x^3,82.27,3,22,backsolve+sub+teacher,8x^3,8x^3,8x^{3},,,GOLD,8x^3,computed,8x^3,77.43,3
