item_id,question,predicted_kaggle_answer,confidence_pct,tier
459,"Complete the following fundamental identities:
$\begin{array}{cccc}\hline 1. & Pythagorean Identity: 1-\cos^2(A) &=& [ANS] \\\hline 2. & Ratio Identity: \cot(A) &=& [ANS] \\\hline 3. & Pythagorean Identity: 1+\tan^2(A) &=& [ANS] \\\hline 4. & Reciprocal Identity: \cot(A) &=& [ANS] \\\hline 5. & Reciprocal Identity: \csc(A) &=& [ANS] \\\hline\end{array}$","\sin^2(A), \dfrac{\cos(A)}{\sin(A)}, \sec^2(A), \dfrac{1}{\tan(A)}, \dfrac{1}{\sin(A)}",75.78,3
460,Indicate whether the following statements are True (T) or False (F). You must get all answers correct in order to receive credit. [ANS] 1. The difference of two integers is always a natural number. [ANS] 2. The quotient of two integers is always an integer (provided the denominator is non-zero). [ANS] 3. The quotient of two integers is always a rational number (provided the denominator is non-zero). [ANS] 4. The product of two integers is always an integer. [ANS] 5. The sum of two integers is always an integer. [ANS] 6. The difference of two integers is always an integer. [ANS] 7. The ratio of two integers is always positive,"F, F, T, T, T, T, F",95.52,1
461,"Suppose that the minimum and maximum ages for typical textbooks currently used in college courses are $0$ and $8$ years. Use the range rule of thumb to estimate the standard deviation. Standard deviation=[ANS] Find the size of the sample required to estimage the mean age of textbooks currently used in college courses. Assume that you want $97$ \% confidence that the sample mean is within $0.25$ year of the population mean.
Required sample size=[ANS]",3,49.19,4
462,"Let $f(x)=\sqrt{56-x}$ and $g(x)=x^2-x$. Then the domain of $f\circ g$ is equal to $[a,b]$ for $a=$ [ANS]
and $b=$ [ANS]","-7, 8",97.68,1
463,"Let $f(x)$ be a monotonically increasing function defined on $[a, b]$. Let $E = \{x \in [a, b] : f'(x)$ exists$\}$. Find the value of $\int_{a}^{b} f'(x) \, \mathrm{d}x$.",E,93.03,1
464,"Let the system $\mathrm{L}$ be formed by two independent subsystems $L1$ and $L2$ in parallel, and the lifetime of $L1.L2$ follows the exponential distribution of parameters $\alpha, \beta(\alpha\neq\beta)$, respectively. What is the density function of the lifetime $\mathrm{Z}$ of system L?",G,99.0,1
465,"Find the volume of the solid that lies under the double cone $z^2 = 4 \cdot x^2 + 4 \cdot y^2$, inside the cylinder $x^2 + y^2 = x$, and above the plane $z = 0$.",H,99.0,1
466,"A model car has a scale factor of $\frac{1}{64}$ The diameter of a tire on the model is 0.42 inches. So, the diameter of the tire on an actual car must be [ANS] inches. Your answer must be correct to one decimal place.",26.9,99.0,1
467,"According to the 1993 World Almanac, the number of calories a person walking at 3 mph burns per minute depends on the person's weight as in the following table.
Calories per minute as a function of weight
$\begin{array}{ccccccc}\hline Weight (pounds) & 100 & 120 & 150 & 170 & 200 & 220 \\ \hline Walking (calories) & 2.7 & 3.2 & 4 & 4.6 & 5.4 & 5.9 \\ \hline \end{array}$
(a) On a sheet of paper, graph the linear function for the calories used per minute while walking, $C$, as a function of weight, $w$. Find an approximate formula for this equation. $C=$ [ANS]
(b) What is a meaningful domain for your function? [ANS] A. $100 \leq w \leq 220$  B. $-\infty < w < \infty$  C. $0 \leq w$  D. $0 \leq w \leq 1000$
(c) What is a meaningful range for your function? [ANS] A. $0 \leq C \leq 6$  B. $0 \leq C \leq 100$  C. $-\infty < C < \infty$  D. $0 \leq C$
(d) Use your function from part (a) to determine how many calories per minute a person who weighs 185 pounds uses per minute of walking. [ANS]","0.02667w + 0.03333,\ 100 \leq w \leq 220,\ 0 \leq C \leq 6,\ 4.967",25.71,5
468,"Astronaunts often report that there are times when they become disoriented as they move around in zero-gravity. Therefore, they ususally rely on bright colors and other visual information to help them estabish a top-down orientation. A study was conducted to assses the potential of using color as body orienting. $85$ college students, reclining on their backs in the dark, found it difficult to establish orientation when positioned on under a rotating disk. This rotating disk was painted half black and half white. Out of the $85$ students, $66$ believed they were right side up when the white was on top. Use this information to estimate the true proportion of subjects who use the white color as a cue for right-side-up orientation. That is, construct a $98$ \% confidence interval for the true proportion. [ANS] $\leq p \leq$ [ANS]",0.8816,52.79,4
469,"The area, $A=f(s)$ square feet, of a square wooden deck is a function of the side $s$ feet. Stain that costs \$31.50 will cover 200 square feet of wood.
(a) Write the formula for $f(s)$. $f(s)=$ [ANS]
(b) Find a formula for $C=g(A)$, the cost in dollars of staining an area of $A$ square feet. $C=g(A)=$ [ANS]
(c) Find $C=g(f(s))$. $C=g(f(s))=$ [ANS]
Which of the following best explains the meaning of the composite function $g(f(s))$? [ANS] A. The amount of stain to cover a square region of side length $s$ feet.  B. The cost to stain a region of area $A$ square feet.  C. The cost to stain a square region of side length $s$ feet.  D. The function for square feet and cost of stain.
(d) Evaluate and interpret, giving units. $f(9)=$ [ANS] [ANS] $g(90)=$ [ANS] [ANS] $g(f(11))=$ [ANS] [ANS]",19.06,72.87,3
470,"Suppose you have selected a random sample of $n=12$ measurements from a normal distribution. Compare the standard normal $z$ values with the corresponding $t$ values if you were forming the following confidence intervals.
(a) $\ $ $95$ \% confidence interval $z=$ [ANS]
$t=$ [ANS]
(b) $\ $ $98$ \% confidence interval $z=$ [ANS]
$t=$ [ANS]
(c) $\ $ $99$ \% confidence interval $z=$ [ANS]
$t=$ [ANS]","2.576, 3.106",56.66,4
471,"In triangle $ABC,$ $BC=9.$ Points $P$ and $Q$ are located on $BC$ such that $BP=PQ=2,$ $QC=5.$ The circumcircle of $APQ$ cuts $AB,AC$ at $D,E$ respectively. If $BD=CE,$ then the ratio $\frac{AB}{AC}$ can be expressed in the form $\frac{m}{n},$ where $m,n$ are relatively prime positive integers. Find $m+n.$",C,99.0,1
472,"On a certain planet, there are exactly 360 days in a year. Find the number of ways we can split the year into equally-sized weeks and months such that
a day is shorter than a week, which is shorter than a month, which is shorter than a year,
the number of days in a week and days in a month are integers,
and the number of months in a year is an integer.
Note that in particular, the number of weeks in a month and weeks in a year don't have to be integers.",I,99.0,1
473,"Solve the following inequality and write your answer using interval notation.
u^2+13 u+22 \leq 3 u+1 Answer: [ANS]
Help:","[-7, -3]",99.0,1
474,How many bit strings of length eight do not contain six consecutive 0s?,C,77.43,3
475,Two points are selected independently and uniformly at random inside a regular hexagon. Compute the probability that a line passing through both of the points intersects a pair of opposite edges of the hexagon.,0.3333,95.51,1
476,"Compute $\int_{0}^{\frac{ 1 }{ 5 }} e^{-2 \cdot x^2} \, dx$ with accuracy $0.00001$.",G,99.0,1
477,"Which of the following must be avoided in designing a questionnaire? [ANS] A. Leading questions  B. Demographic questions  C. Open-ended questions  D. Dichotomous questions
When the population is divided into mutually exclusive sets, and then a simple random sample is drawn from each set, this is called: [ANS] A. Slection Bias  B. Simple random sampling  C. Stratified random sampling  D. Cluster sampling","A, C",97.68,1
478,"List all real values of $x$ such that $f(x)=0$. If there are no such real $x$, type DNE in the answer blank. If there is more that one real $x$, give a comma separated list (i.e.: 1,2).
f(x)=\frac {10x+3}{5} $x$=[ANS]",-3/10,81.65,2
479,"Construct both a $90$ \% and a $95$ \% confidence interval for $\beta_1$. $\hat{\beta}_1=42, \ s=7.3, \ SS_{xx}=59, \ n=21$ $90$ \%: [ANS] $\leq \beta_1 \leq$ [ANS]
$95$ \%: [ANS] $\leq \beta_1 \leq$ [ANS]","40.01, 43.99",80.67,2
480,"The height inside a camping tent when you are $d$ feet from the edge of the tent is given by
${h={-\left|d-5\right|+5}}$ where $h$ stands for height in feet. Determine the height when you are:
${7.5\ {\rm ft}}$ from the edge. The height inside a camping tent when you ${7.5\ {\rm ft}}$ from the edge of the tent is [ANS]
${2.5\ {\rm ft}}$ from the edge. The height inside a camping tent when you ${2.5\ {\rm ft}}$ from the edge of the tent is [ANS]",2.500,47.07,4
481,Let $N$ denote the number of $7$ digit positive integers have the property that their digits are in increasing order. Determine the remainder obtained when $N$ is divided by $1000$ . (Repeated digits are allowed.),A,99.0,1
482,"Set $x^{4} \!-\! 2 x^{2} \!+\! 3 \!=\! c_{0} \!+\! c_{1} ( x \!+\! 2 ) \!+\! c_{2} ( x \!+\! 2 )^{2} \!+\! c_{3} ( x \!+\! 2 )^{3} \!+\! c_{4} ( x \!+\! 2 )^{2}$ , try to use synthetic division to find the $c_{0}, \, c_{1}, \, c_{2}, \, c_{3}, \, c_{4}$ . What are their solutions?",H,99.0,1
483,"Let $x,y$ be two non-negative real numbers such that $y\sqrt{2016-x^2} + x\sqrt{2016-y^2} = 2016$ . Then, the maximum possible value of $x+3y$ can be expressed as $m\sqrt{n}$ , where $n$ is not divisible by the square of any prime. Find $m + n$ .",A,77.43,3
484,"Let $\star (x)$ be the sum of the digits of a positive integer $x$ . $\mathcal{S}$ is the set of positive integers such that for all elements $n$ in $\mathcal{S}$ , we have that $\star (n)=12$ and $0\le n< 10^{7}$ . If $m$ is the number of elements in $\mathcal{S}$ , compute $\star(m)$ .",C,99.0,1
485,"Stan and Hilda can mow the lawn in $45$ min if they work together. If Hilda works twice as fast as Stan, how long would it take Stan to mow the lawn alone?
Give your answer in munites here: [ANS]",135,99.0,1
486,The number of increasing sequences of positive integers $a_1 \le a_2 \le a_3 \le \cdots \le a_{10} \le 2007$ such that $a_i-i$ is even for $1\le i \le 10$ can be expressed as ${m \choose n}$ for some positive integers $m > n$ . Compute the remainder when $m$ is divided by $1000$ .,B,99.0,1
487,"A sample of four 35-year-old males is asked about the average number of hours per week that he exercises, and is also given a blood cholesterol test. The data is recorded in the order pairs given below, in the form (Hours Exercising, Cholesterol Level):
(2.8,218), \quad (3.6,205), \quad (4.6,198), \quad (6.7,187) Find the covariance and coefficient of correlation for this sample. Covariance=[ANS]
Coefficient of Correlation=[ANS]",-0.9636,41.16,4
488,"Having won the elections in Linetown, Turbo the Snail has become mayor, and one of the most pressing issues he needs to work on is the road network. Linetown can be represented as a configuration of $2025$ lines
in the plane, of which no two are parallel and no three are concurrent.

There is one house in Linetown for each pairwise intersection of two lines. The $2025$ lines are used as roads by the townsfolk. In the past, the roads in Linetown used to be two-way, but this often led to residents accidentally cycling back to where they started.

Turbo wants to make each of the $2025$ roads one-way such that it is impossible for any resident to start at a house, follow the roads in the correct directions, and end up back at the original house. In how many ways can Turbo achieve this?",2025!,70.82,3
489,Angelina's goal for each five-day work week is to have average total sales of \$ 245 per day. For the first four days of this week her average total sales was \$ 210 per day. In order for her to meet her goal for the week her average total sales for the fifth day must be [ANS],\$385,91.65,1
490,"The required cooling capacity, in BTUs, for a room air conditioner is directly proportional to the area of the room being cooled. A room of $280$ square feet requires an air conditioner whose cooling capacity is $6440$ BTUs.
(a) What is the constant of proportionality, and what are its units? [ANS] [ANS]
(b) If an air conditioner has a cooling capacity of $9430$ BTUs, how large a room can it cool? [ANS] [ANS]","23.00, 410.0",72.87,3
491,"Following are the number of miles traveled for 30 randomly selected business flights within the United States during 1999. 1707, 1435, 1486, 1656, 976, 1027, 1401, 1418, 1095, 1282, 1554, 925, 1316, 1180, 1129, 1197, 1316, 704, 755, 1129, 1316, 1758, 1231, 1010, 1248, 1928, 2098, 942, 534, 908 a) Use the data to obtain a point estimate for the population mean number of miles traveled per business flight, $\mu$, in 1999. Note: The sum of the data is 37661. $\bar{x}=$ [ANS]
b) Determine a 95.44\% confidence interval for the population mean number of miles traveled per business flight in 1999. Assume that $\sigma=450$ miles. Confidence interval: ([ANS], [ANS]). c) Must the number of miles traveled per business flight in 1999 be exactly normally distributed for the confidence interval that you obtained in part (b) to be approximately correct? [ANS]
d) What theorem helped you answer part (c)? [ANS]","1255.37,\ 1091.15,\ 1419.59,\ \text{No},\ \text{Central Limit Theorem}",37.29,5
492,"If the coefficient of correlation is 0.90, the percentage of the variation in the dependent variable y that is explained by the variation in the independent variable x is: [ANS] A. 81\%  B. 0.81\%  C. 0.90\%  D. 90\%
If the coefficient of determination is 0.975, then the slope of the regression line: [ANS] A. could be either positive or negative  B. must be negative  C. must be positive  D. none of the above answers is correct","81\%, A",30.82,5
493,"In a study of red/green color blindness, $900$ men and $2650$ women are randomly selected and tested. Among the men, $82$ have red/green color blindness. Among the women, $7$ have red/green color blindness. Test the claim that men have a higher rate of red/green color blindness. The test statistic is [ANS]
Is there sufficient evidence to support the claim that men have a higher rate of red/green color blindness than women? [ANS] A. No  B. Yes
Construct the $96$ \% confidence interval for the difference between the color blindness rates of men and women. [ANS] $< (p_1-p_2) <$ [ANS]","14.67, B, 0.06866, 0.1083",46.67,4
494,"It’s given that $1 \text{gram}=1000 \text{milligrams}$. Do the following unit conversions.
${0.007 \text{grams}=}$ [ANS] ${\text{milligrams}}$
${62 \text{milligrams}=}$ [ANS] ${\text{grams}}$",0.06200,51.54,4
495,"A multinomial experiment with $k=3$ cells and $n=400$ produced the data shown below.
$\begin{array}{cccc}\hline \ & Cell 1 & Cell 2 & Cell 3 \\ \hline n_i & 102 & 103 & 195 \\ \hline \end{array}$
If the null hypothesis is $H_0: p_1=.25, \ p_2=.25, \ p_3=.5$ and using $\alpha=0.05$, then do the following:
(a) Find the expected value of Cell 1. E(Cell 1) $=$ [ANS]
(b) Find the expected value of Cell 2. E(Cell 2) $=$ [ANS]
(c) Find the expected value of Cell 3. E(Cell 3) $=$ [ANS]
(d) Find the test statistic. $\chi^2=$ [ANS]
(e) Find the rejection region. $\chi^2 >$ [ANS]
The final conclustion is [ANS] A. We can reject the null hypothesis that $p_1=.25, \ p_2=.25, \ p_3=.5$ and accept that at least one of the multinomial probabilities does not equal its hypothesized value.  B. There is not sufficient evidence to reject the null hypothesis that $p_1=.25, \ p_2=.25, \ p_3=.5$.","100, 100, 200, 0.255, 5.99, B",55.37,4
496,"Directions (or bearings) on Earth are measured in degrees, running from zero to $360^\circ$, clockwise, starting with $0^\circ$ being due North. So due East for example, is $90^\circ$, due South $180^\circ$, and Northwest is $315^\circ$. You are swinging a rock clockwise (looking from above) around your head and you are trying to hit a broom stick $18$ feet due east of you. The rock moves in a circle of a radius of $3$ feet around your head. When you release your sling the rock will continue to move along the tangent to the circle though its position at the time of the release. When you release the rock the sling is pointing in a direction of [ANS] degrees. Ignore the vertical motion of the rock.
It's unrealistic, but remember that unless otherwise stated WeBWorK expects your answer to be within one tenth of one percent of the true answer.
Hint: You can solve this problem using calculus and computing the tangent to a circle. However, you can also solve it using plain trigonometry. The moral is that you want to use whatever requires the least amount of fuss for the problem at hand.",99.594,36.1,5
497,"(a) Evaluate $\tan t$ if $t=48$ degrees. $\tan t=$ [ANS]
(b) Evaluate $\arctan z$ if $z=48$. $\arctan z=$ [ANS] degrees (c) Evaluate $\tan^{-1} b$ if $b=48$. $\tan^{-1} b=$ [ANS] degrees (d) Evaluate $(\tan \beta)^{-1}$ if $\beta=48$ degrees. $(\tan \beta) ^{-1}=$ [ANS]","1.111, 88.81, 88.81, 0.9004",82.06,2
498,"A list of positive integers satisfies the following properties:
(A) The mean of the list is $8$.
(2) The median of the list is $13$.
(D) The mode of the list is $15$.

Moreover, the range of the list is $27$. What is the fewest possible number of elements that could be in the list?
","probably a small number like 7, 8, 9, 10, or something reasonable.

Wait, let me re-read the problem. ""A list of positive integers."" The mean is 8, median is 13, mode is 15, range is 27.

Hmm, mean=8 < median=13 < mode=15. This is unusual (usually mean < median < mode for left-skewed data, but here the mode is the highest of the three).

Range = 27. Max - min = 27.

Let me reconsider: maybe min doesn't have to be 1. The minimum just needs to be a positive integer. And max = min + 27.

For the mean to be 8, we need many small values. The smallest positive integer is 1.

But wait — what if the list has many small values AND the mode is 15? The mode being 15 means 15 appears more than any other single value. But we could have, say, 15 appearing 3 times and every other value appearing at most 2 times.

Let me reconsider n=7:
sum=56, median=4th element=13.
Mode=15 (≥2 times), range=27 (max-min=27).

If 15 appears 2 times, they must be in positions 5,6,7 (since 15>13).
Max must be ≥ 15. If max=15, range=27 → min=15-27=-12 (not positive). So max>15.
Max ≥ 28 (since min ≥ 1 and range=27).

Wait, actually max doesn't have to be 28. If min=1, max=28. If min=2, max=29. Etc.

But for minimum sum (mean=8 is small), we want min=1, max=28.

For n=7: a,b,c,13,d,e,f with a=1, some value=28.
15 appears 2 times. 28 appears once.
If d=15, e=15, f=28: sum = 1+b+c+13+15+15+28 = 72+b+c = 56 → b+c = -16. Impossible.

If e=15, f=15... but then max=15, range=27 → min=-12. Not positive.

So for n=7, impossible.

For n=8: sum=64.
Median=avg(a4,a5)=13.
Min=1, max=28, mode=15 (appears ≥2 times).
15s in positions 6,7,8 (or some subset), 28 in position 8.

1,b,c,d,e,15,15,28 where d+e=26, d≤e≤15.
d+e=26, e≤15 → d≥11.
Sum = 1+b+c+26+30+28 = 85+b+c = 64 → b+c = -21. Impossible.

For n=9: sum=72.
1,b,c,d,13,e,15,15,28 (mode=15 appears 2 times; 28 is max).
But wait, need 15 to",46.95,4
499,"In July 2005, the internet was linked by a global network of about 352.7 million host computers. The number of host computers has been growing approximately exponentially and was about 36.9 million in July 1998.
(a) Find a formula for the number, N, N, of internet host computers (in millions of computers) as an exponential function of t, t, the number of years since July 1998, using the continuous exponential model $N(t)=ae^{kt}$. What are the values of a and k in your model? $a=$ [ANS]
$k=$ [ANS] (Accurate to four decimal places)
(b) Based on your equation above, what is the continuous annual percentage growth rate of N? Round your answer to the nearest 0.01\%. By [ANS] \%
(c) What is the doubling time of N? [ANS] years (round your answer to the nearest 0.001 years)",2.149,92.63,1
500,"Using the iterative method to solve the system of equations $A X = b$, let $x^*$ be the exact solution, $\boldsymbol{X}^{(k)}$ the $k$th approximate solution, and $\varepsilon^{(k)} = X^{(k)} - X^{*}$, called the $k$th residual vector. Suppose
$$
A = \left[ \begin{array} {c r} 1 & -\frac{1}{2} \\ \\ -\frac{1}{2} & 1 \\ \end{array} \right], \quad b = \left[ \begin{array} {c r} 1 & 1 \\ -\frac{1}{2} & 1 \\ \end{array} \right]^{\mathrm{T}}.
$$
Try to the residual vector $\varepsilon^{(k)}$ for both the Jacobi iteration and the Gauss-Seidel iteration is().",J,99.0,1
501,"Let $S_n$ denote the set $\{1, 2,..., n\}$ , and define $f(S)$ , where $S$ is a subset of the positive integers, to output the greatest common divisor of all elements in $S$ , unless $S$ is empty, in which case it will output $0$ . Find the last three digits of $\sum_{S \subseteq S_{10}}f(S)$ , where $S$ ranges over all subsets of $S_{10}$ .",INVALID,67.68,3
502,"Determine the period for the function $y=2 \tan (\frac{11\pi}{8}x-\frac{9\pi}{10})$ Type 'pi' for $\pi$ in your answer(s), if needed. Period=[ANS]",\dfrac{8}{11},60.27,3
503,"A company set aside a certain amount of money in the year 2000. The company spent exactly the same amount from that fund each year on perks for its employees. In $2003$, there was still ${\$704{,}000}$ left in the fund. In $2007$, there was ${\$532{,}000}$ left. Let $x$ be the number of years since 2000, and let $y$ be the amount of money left in the fund that year. Use a linear equation to model the amount of money left in the fund after so many years.
The linear model’s slope-intercept equation is [ANS].
In the year $2009$, there was $[ANS] left in the fund.
In the year [ANS], the fund will be empty.","446000, 2019",46.42,4
504,"Find the rectangular coordinates of the point whose polar coordinates are $\left(\small{3,}\normalsize{\frac{4\pi}{3}}\right)$. If appropriate, leave all radicals in your answer.
$\small{(x,y)}$: ([ANS], [ANS])","-\dfrac{3}{2}, -\dfrac{3\sqrt{3}}{2}",71.32,3
505,"Suppose
$f(x)=-26-39x^1+37x^2+27x^3+10x^4+1x^5$
is factored using Horner's Method Horner's Method into the nested form
$f({\color{Blue} x})=-26+{\color{Blue} x}$ $(-39+{\color{Blue} x}$ $(37+{\color{Blue} x}$ $(27+{\color{Blue} x}$ $(10+{\color{Blue} x}$ $(1)$ $)$ $)$ $)$ $)$
Then
$f({\color{Blue}-7})=-26+{\color{Blue}-7}$ $(-39+{\color{Blue}-7}$ $(37+{\color{Blue}-7}$ $(27+{\color{Blue}-7}$ $(10+{\color{Blue}-7}$ $($ [ANS] $)$ $)$ $)$ $)$ $)$ $f({\color{Blue}-7})=-26+{\color{Blue}-7}$ $(-39+{\color{Blue}-7}$ $(37+{\color{Blue}-7}$ $(27+{\color{Blue}-7}$ $($ [ANS] $)$ $)$ $)$ $)$ $f({\color{Blue}-7})=-26+{\color{Blue}-7}$ $(-39+{\color{Blue}-7}$ $(37+{\color{Blue}-7}$ $($ [ANS] $)$ $)$ $)$ $f({\color{Blue}-7})=-26+{\color{Blue}-7}$ $(-39+{\color{Blue}-7}$ $($ [ANS] $)$ $)$ $f({\color{Blue}-7})=-26+{\color{Blue}-7}$ $($ [ANS] $)$ $f({\color{Blue}-7})=$ [ANS]",2,42.38,4
506,"We now define an algorithm: The definition of a(n) is the arithmetic mean of two consecutive balanced primes of order one. Given the input x_list (a series of values): [36, 37, 38, 39, 40, 41, 42, 43, 44, 45], determine the corresponding output sequence y_list.",A,55.37,4
507,"The value of $\frac{1}{399!}\left(\sum_{i=2}^{200}\frac{199!(399-i)!}{(200-i)!}-\sum_{i=2}^{100}\frac{99!(399-i)!}{(100-i)!}\right)$ can be expressed as $\frac{m}{n}$ where $\gcd(m,n)=1$ . Find the remainder when $m+n$ is divided by $1000$",I,77.43,3
508,"Let $n$ be a positive integer. A class of $n$ students run $n$ races, in each of which they are ranked with no draws. A student is eligible for a rating $(a,\,b)$ for positive integers $a$ and $b$ if they come in the top $b$ places in at least $a$ of the races. Their final score is the maximum possible value of $a-b$ across all ratings for which they are eligible.

Find the maximum possible sum of all the scores of the $n$ students.",\dfrac{n(n-1)}{2},70.82,3
509,"Given that a>0, for any two numbers x and y, where 0 < x < a and 0 < y < a, the probability of $xy < a^2/4$ is ____.",H,99.0,1
510,"Exactly \( n \) cells of an \( n \times n \) square grid are colored black, and the remaining cells are white. The cost of such a coloring is the minimum number of white cells that need to be recolored black so that from any black cell \( c_0 \), one can reach any other black cell \( c_k \) through a sequence \( c_0, c_1, \ldots, c_k \) of black cells where each consecutive pair \( c_i, c_{i+1} \) are adjacent (sharing a common side) for every \( i = 0, 1, \ldots, k-1 \). Let \( f(n) \) denote the maximum possible cost over all initial colorings with exactly \( n \) black cells. Determine a constant $\alpha$ such that
\[
\frac{1}{3}n^{\alpha} \leq f(n) \leq 3n^{\alpha}
\]for any $n\geq 100$.",1,95.51,1
511,"Find the arc length of the curve, where x=t, y=t^2 and z=2*t^3/3.",I,99.0,1
512,"Expand the expression
(8 p+4)^2 and combine like terms. Simplify your answer as much as possible. Answer: [ANS]",64p^2 + 64p + 16,99.0,1
513,"Given the significance level $\alpha=0.08$ find the following:
(a) $\ $ lower-tailed $z$ value $z=$ [ANS]
(b) $\ $ right-tailed $z$ value $z=$ [ANS]
(c) $\ $ two-tailed $z$ value $|z|=$ [ANS]","-1.405, 1.405, 1.751",91.39,1
514,Determine a definite integral that represents the region common to $r=2$ and $r=4 \cdot \cos\left(\theta\right)$.,I,99.0,1
515,"Order $-8$, $19$, $1$, $12$ from least to greatest. (Separate your answers by commas.) [ANS]","-8, 1, 12, 19",99.0,1
516,Consider the expression $7 j-11 j+4 j$. The coefficients=[ANS] (separate by a comma) and $7 j-11 j+4 j=$ [ANS],"7, -11, 4, 0",92.2,1
517,Let $S$ denote the sum of all of the three digit positive integers with three distinct digits. Compute the remainder when $S$ is divided by $1000$ .,E,99.0,1
518,"We now define an algorithm: The definition of a(n) is: Table T(n,k) = n OR k read by antidiagonals. The OR operation refers to the bitwise inclusive OR. Given the input x_list (a series of values): [84, 85, 86, 87, 88, 89, 90, 91, 92, 93], determine the corresponding output sequence y_list.",INVALID,52.99,4
519,"Assume that the number of bacteria follows an exponential growth model: $ P(t)=P_0 e^{kt}$. The count in the bacteria culture was 700 after 15 minutes and 1600 after 40 minutes.
(a) What was the initial size of the culture? [ANS]
(b) Find the population after 75 minutes. [ANS]
(c) How many minutes after the start of the experiment will the population reach 11000? [ANS]
Note: webwork usually expects four significant digits so don't round your answers.",98.30,94.0,1
520,"You have a job raking leaves and have been able to save \$93. You decide to use the money to hit balls in the batting cages. If it costs \$7 for each 10 minute period and you use the batting cage for 7 periods, the amount of money you will have left is \$ [ANS].",\$44,91.65,1
521,Two numbers added together are 19. Their product is 70. What are the two numbers?,F,99.0,1
522,"Approximate, to three decimal places, the solutions to the equation. If there is more than one solution write them separated by commas. $\cos x=4x^2$ $x=$ [ANS]","x \approx -0.472, \, 0.472",48.82,4
523,"Let $n$ be a positive integer. The integers $1,\,2,\,3,\,\ldots,\,n^2$ are to be written in the cells of an $n\times n$ board such that each integer is written in exactly one cell and each cell contains exactly one integer. For every integer $d$ with $d\mid n$, the $d$-division of the board is the division of the board into $(n/d)^2$ nonoverlapping sub-boards, each of size $d\times d$, such that each cell is contained in exactly one $d\times d$ sub-board.

We say that $n$ is a cool number if the integers can be written on the $n\times n$ board such that, for each integer $d$ with $d\mid n$ and $1<d<n$, in the $d$-division of the board, the sum of the integers written in each $d\times d$ sub-board is not a multiple of $d$.

Determine the sum of the smallest 20 even cool numbers.",762,63.1,3
524,"Find the Dini derivative of
$$ f(x)=\begin{cases}ax\sin^2\frac{1}{x}+bx\cos^2\frac{1}{x},&x>0,\\0,&x=0,\quad(a<b,a^{\prime}<b^{\prime}).\\\\a^{\prime}x\sin^2\frac{1}{x}+b^{\prime}x\cos^2\frac{1}{x},&x<0\end{cases}$$.",E,84.12,2
525,"Given that:
$$\begin{align*}\left(\frac {1}{r}\right)\left(\frac {1}{s}\right)\left(\frac {1}{t}\right) &= \frac {3}{391} \\ r + \frac {1}{s} &= \frac {35}{46} \\ s + \frac {1}{t} &= \frac {1064}{23} \\ t + \frac {1}{r} &= \frac {529}{102}.\end{align*}$$
Then what is the smallest integer that is divisible $rs$ and $12t$ ?",A,62.22,3
526,"Use substitution to compose $y=8 u^2+4 u+4$ and $u=4x^{2}$. Enter your answer as an equation, and simplify your answer as much as possible. [ANS]",y = 128x^4 + 16x^2 + 4,77.43,3
527,"A microchip inspector found eight defective chips in a batch containing $700$ chips. At that rate, determine the number of defective chips in a batch of $25000$ chips. Write a proportion describing this problem in the form $\frac{a}{b}=\frac{x}{d}$ where $x$ represents the number that you are asked to find. [ANS]/[ANS]=[ANS]/[ANS] The number defective chips expected in the larger batch is $x=$ [ANS]",285.7,96.23,1
528,"A city had a population of 7,774 at the begining of 1968 and has been growing at 7.1\% per year since then.
(a) Find the size of the city at the beginning of 1993. Answer: [ANS]
(b) During what year will the population of the city reach 8,240,527? Answer: [ANS]",2069,51.8,4
529,"If Kamina can do a job in $33$ hours and Simon and Kamina working together can do the same job in $13$ hours, find how long it takes Simon to do the job alone. Answer: [ANS] hours",42921,81.65,2
530,"Put in simplest form. For example if $\frac{3}{7}$ were the answer you would put 3/7 in the answer box. 1) $\frac{16}{18}$=[ANS]
2) $\frac{28}{36}$=[ANS]
2) $\frac{40}{8}$=[ANS]","\frac{8}{9}, \frac{7}{9}, 5",57.43,4
531,Which of the following are integers? There may be more than one correct answer. [ANS] A. $\sqrt{3}$  B. $-2.101001000100001\ldots$  C. $58$  D. $-43261$  E. ${\textstyle\frac{3}{28}}$  F. $62120$  G. $-2.063$  H. $-7$,H,61.74,3
532,"For the following exercises, find the polar equation of the conic with focus
at the origin and the given eccentricity and directrix.
Directrix: \(x=-\frac{1}{4} ; \quad e=\frac{7}{2}\)",I,77.43,3
533,"A dean in the business school claims that GMAT scores of applicants to the school's MBA program have increased during the past 5 years. Five years ago, the mean and standard deviation of GMAT scores of MBA applicants were 530 and 50, respectively. 29 applications for this year's program were randomly selected and the GMAT scores recorded. If we assume that the distribution of GMAT scores of this year's applicants is the same as that of 5 years ago, find the probability of erroneously concluding that there is not enough evidence to supports the claim when, in fact, the true mean GMAT score is 560. Assume $\alpha$ is 0.05. P(Type II Error)=[ANS]",0.0563,43.43,4
534,"Given that the general solution of the differential equation $\mathrm{y^{\prime\prime}+a y^{\prime}+b y=c e^{x}}$ is $\mathrm{y=~ ( \, C_{1}+C_{2} x \, ) ~ \ e^{-x}+e^{x}}$ , what are the values of $\mathrm{a, ~ b, ~ c}$ in order?",G,99.0,1
