item_id,item_type,predicted_kaggle_answer,confidence_pct,tier,runner_up_answer,runner_up_pct,num_submissions_agreeing,num_submissions_with_answer,teacher_consensus,teacher_agrees,investigation_flag,submission_answer_distribution_json
129,free,"\dfrac{5}{\sin t}, \sqrt{7}, -3 \cos t, 2\sqrt{2} \tan t",66.77,3,"5\csct,\sqrt{7},-3\cost,2\sqrt{2}\tant",23.23,3,12,,False,False,"{""\\dfrac{5}{\\sint},\\sqrt{7},-3\\cost,2\\sqrt{2}\\tant"": 3, ""5\\csct,\\sqrt{7},-3\\cost,2\\sqrt{2}\\tant"": 1, ""\\frac{5}{\\sint},\\sqrt{7},-3\\cost,2\\sqrt{2}\\tant"": 3, ""2\\sqrt{2}\\tant"": 2, ""5/\\sin(t),\\\\sqrt{7},\\-3\\cos(t),\\2\\sqrt{2}\\tan(t)"": 2, ""PLACEHOLDER_0129"": 1}"
130,free,r^{42},99.0,1,43,1.27,7,12,r^{42},True,False,"{""r^{42}"": 7, ""PLACEHOLDER_0130"": 3, ""43"": 2}"
131,free,0.1084,52.38,4,0.1085,40.35,7,12,,False,False,"{""0.1084"": 7, ""0.1085"": 1, ""0.108"": 2, ""PLACEHOLDER_0131"": 2}"
132,free,10.8\text{ miles},91.65,1,10.8,7.94,1,12,,False,False,"{""10.8"": 9, ""10.8\\text{miles}"": 1, ""PLACEHOLDER_0132"": 2}"
133,free,"-0.8660, 0.5000, -1.732, 2.000",43.41,4,"value1,value2,value3",34.24,5,12,,False,False,"{""-0.866,0.5,-1.732,2"": 5, ""value1,value2,value3"": 1, ""2"": 2, ""-\\frac{\\sqrt3}{2},\\frac12,-\\sqrt3,2"": 2, ""PLACEHOLDER_0133"": 2}"
134,free,"1,5,12,20,26,30,31,28",26.1,5,27.63,33.15,1,12,"1,5,12,20,26,30,31,27.625",False,True,"{""27.63"": 6, ""1,5,12,20,26,30,31,28"": 1, ""27.625"": 1, ""1,5,12,20,26,30,31,27.625"": 2, ""PLACEHOLDER_0134"": 2}"
135,free,36,81.65,2,0.6,7.94,1,12,\frac{3}{5},False,True,"{""0.6"": 9, ""36"": 1, ""PLACEHOLDER_0135"": 2}"
136,free,C,47.07,4,"A,C",45.81,2,12,,False,False,"{""A,C"": 6, ""A,B"": 3, ""C"": 2, ""PLACEHOLDER_0136"": 1}"
137,free,214,18.49,5,"0.153846,2",25.52,1,12,"2/13,2/1",False,True,"{""0.153846,2"": 4, ""2/13,2/1"": 3, ""214"": 1, ""2"": 1, ""2/1"": 1, ""PLACEHOLDER_0137"": 2}"
138,free,7237,90.62,1,7236.81,8.95,7,12,,False,False,"{""7237"": 7, ""7236.81"": 3, ""PLACEHOLDER_0138"": 2}"
139,free,"201, \dfrac{1}{n(n+1)}",57.43,4,"201,\frac{1}{n(n+1)}",23.93,3,12,"201,\frac{1}{n(n+1)}",False,True,"{""201,\\dfrac{1}{n(n+1)}"": 3, ""201,\\frac{1}{n(n+1)}"": 2, ""\\dfrac{1}{n(n+1)}"": 2, ""PLACEHOLDER_0139"": 3, ""202"": 2}"
140,free,2744,99.0,1,2745,1.27,7,12,2744,True,False,"{""2744"": 7, ""PLACEHOLDER_0140"": 3, ""2745"": 2}"
141,MCQ,3,46.42,4,4,33.34,2,12,,False,False,"{""A"": 5, ""3"": 2, ""\\TEXT{NO CORRECT OPTION}"": 3, ""4"": 1, ""PLACEHOLDER_0141"": 1}"
142,free,"7, 8, 9, 10, 11",99.0,1,8,1.27,7,12,"7, 8, 9, 10, 11",True,False,"{""7,8,9,10,11"": 7, ""PLACEHOLDER_0142"": 3, ""8"": 2}"
143,free,"(0, -8), (0, 6), (3, 5.196)",42.28,4,"0,-8,0,6,3,3\sqrt{3}",24.37,1,12,,False,False,"{""0,-8,0,6,3,5.196"": 4, ""(0,-8),(0,6),(3,5.196)"": 1, ""0,-8,0,6,3,3\\sqrt{3}"": 1, ""5.196"": 2, ""(0,-8),(0,6),(3,3\\sqrt3)"": 2, ""PLACEHOLDER_0143"": 2}"
144,MCQ,C,82.34,2,H,11.35,7,11,,False,False,"{""C"": 7, ""H"": 3, ""PLACEHOLDER_0144"": 1}"
145,free,"\frac{x}{5280}, 4.735, 25000",31.6,5,"4.735,25000",30.66,1,12,,False,False,"{""\\frac{x}{5280},4.735,25000"": 1, ""4.735,25000"": 1, ""4.735"": 4, ""x/5280,\\4.735,\\25000"": 1, ""25000"": 1, ""\\frac{x}{5280},4.73,25000"": 2, ""PLACEHOLDER_0145"": 2}"
146,MCQ,F,99.0,1,INVALID,1.27,7,12,F,True,False,"{""F"": 7, ""PLACEHOLDER_0146"": 3, ""INVALID"": 2}"
147,MCQ,I,99.0,1,INVALID,1.27,7,12,I,True,False,"{""I"": 7, ""PLACEHOLDER_0147"": 3, ""INVALID"": 2}"
148,MCQ,A,99.0,1,INVALID,1.27,7,12,A,True,False,"{""A"": 7, ""PLACEHOLDER_0148"": 3, ""INVALID"": 2}"
149,free,6.85,76.72,3,6.86,15.09,6,12,,False,False,"{""6.85"": 6, ""6.86"": 5, ""PLACEHOLDER_0149"": 1}"
150,MCQ,A,99.0,1,INVALID,1.27,7,12,A,True,False,"{""A"": 7, ""PLACEHOLDER_0150"": 3, ""INVALID"": 2}"
151,free,36,66.17,3,1,33.12,6,12,,False,False,"{""36"": 6, ""1"": 4, ""PLACEHOLDER_0151"": 2}"
152,MCQ,J,77.43,3,874,14.5,8,12,,False,False,"{""J"": 8, ""874"": 3, ""PLACEHOLDER_0152"": 1}"
153,MCQ,B,99.0,1,INVALID,1.27,7,12,B,True,False,"{""B"": 7, ""PLACEHOLDER_0153"": 3, ""INVALID"": 2}"
154,free,18.75,84.12,2,\18.75,15.33,8,12,,False,False,"{""18.75"": 8, ""\\18.75"": 2, ""PLACEHOLDER_0154"": 2}"
155,free,12.17,84.12,2,12.17ft,15.33,8,12,,False,False,"{""12.17"": 8, ""12.17ft"": 2, ""PLACEHOLDER_0155"": 2}"
156,MCQ,H,99.0,1,INVALID,1.27,7,12,H,True,False,"{""H"": 7, ""PLACEHOLDER_0156"": 3, ""INVALID"": 2}"
157,free,"50 \sin(0.1t) - 7 \cos(0.1t), 46.31",37.29,5,-46.31,30.67,1,12,,False,False,"{""50\\sin(0.1t)-7\\cos(0.1t),46.31"": 1, ""-46.31"": 4, ""7\\cos(0.1t)-50\\sin(0.1t),-46.31"": 1, ""-7\\cos(0.1t)+50\\sin(0.1t),46.3007"": 3, ""-7\\cos(0.1t)+50\\sin(0.1t),\\46.31"": 2, ""PLACEHOLDER_0157"": 1}"
158,free,"A, C",97.68,1,C,6.66,5,12,"A,C",True,False,"{""A,C"": 5, ""C"": 2, ""PLACEHOLDER_0158"": 3, ""INVALID"": 2}"
159,free,"0.07, 0.007, 0.0007",97.68,1,0.0007,6.66,5,12,"0.07, 0.007, 0.0007",True,False,"{""0.07,0.007,0.0007"": 5, ""0.0007"": 2, ""PLACEHOLDER_0159"": 3, ""1"": 2}"
160,free,"\frac{22 + x}{y}, \text{multiplicative identity}",58.81,4,"\dfrac{22+x}{y},\text{identitypropertyofmultiplication}",20.46,3,12,,False,False,"{""\\frac{22+x}{y},\\text{multiplicativeidentity}"": 3, ""\\dfrac{22+x}{y},\\text{identitypropertyofmultiplication}"": 1, ""\\frac{22+x}{y},\\frac{22+x}{y},\\text{IdentityPropertyofMultiplication}"": 3, ""identitypropertyofmultiplication"": 1, ""\\text{multiplicativeidentity}"": 1, ""\\frac{22+x}{y},IdentityPropertyofMultiplication"": 2, ""PLACEHOLDER_0160"": 1}"
161,free,\dbinom{2024}{1012},46.95,4,\binom{2024}{1013},34.08,2,6,,False,False,"{""\\binom{2024}{1013}"": 3, ""\\dbinom{2024}{1012}"": 2, ""PLACEHOLDER_0161"": 1}"
162,MCQ,B,92.2,1,E,11.95,6,12,B,True,False,"{""B"": 6, ""E"": 1, ""PLACEHOLDER_0162"": 3, ""INVALID"": 2}"
163,free,"9, -5, 4",97.68,1,4,6.66,5,12,"9,-5,4",True,False,"{""9,-5,4"": 5, ""4"": 2, ""PLACEHOLDER_0163"": 3, ""10"": 2}"
164,MCQ,G,81.97,2,H,11.58,5,9,,False,False,"{""G"": 5, ""H"": 3, ""PLACEHOLDER_0164"": 1}"
165,MCQ,C,46.42,4,B,33.34,2,12,,False,False,"{""I"": 5, ""C"": 2, ""F"": 3, ""B"": 1, ""PLACEHOLDER_0165"": 1}"
166,free,175 \cdot \left( \frac{1}{4} \right)^n,37.6,5,175\cdot\left(\dfrac{1}{4}\right)^n,25.15,3,12,,False,False,"{""175\\cdot\\left(\\frac{1}{4}\\right)^n"": 3, ""175\\cdot\\left(\\dfrac{1}{4}\\right)^n"": 1, ""175\\left(\\frac{1}{4}\\right)^n"": 2, ""175\\left(\\dfrac{1}{4}\\right)^n"": 1, ""175(\\frac14)^n"": 2, ""175\\cdot(\\frac{1}{4})^n"": 1, ""PLACEHOLDER_0166"": 2}"
167,free,"B, A, B, B",56.47,4,B,26.85,6,12,"Negative,Negative,Positive,Negative",False,True,"{""B,A,B,B"": 6, ""B"": 2, ""Negative,Negative,Positive,Negative"": 2, ""PLACEHOLDER_0167"": 2}"
168,free,B,47.07,4,"A,C,B,B",45.81,2,12,,False,False,"{""A,C,B,B"": 6, ""C,C,B,B"": 3, ""B"": 2, ""PLACEHOLDER_0168"": 1}"
169,free,401,45.37,4,400,37.42,1,12,400\%,False,True,"{""400"": 7, ""401"": 1, ""400\\%"": 2, ""PLACEHOLDER_0169"": 2}"
170,MCQ,J,70.82,3,C,22.37,2,8,,False,False,"{""J"": 2, ""C"": 1, ""F"": 2, ""A"": 1, ""PLACEHOLDER_0170"": 2}"
171,free,21,81.65,2,20,7.94,1,12,20,False,True,"{""20"": 9, ""21"": 1, ""PLACEHOLDER_0171"": 2}"
172,free,\frac{1320}{3721},78.41,3,\dfrac{1320}{3721},25.45,5,12,\frac{1320}{3721},True,False,"{""0.354743"": 5, ""\\dfrac{1320}{3721}"": 2, ""PLACEHOLDER_0172"": 3, ""1.32037e+07"": 2}"
173,MCQ,C,99.0,1,INVALID,1.52,3,8,C,True,False,"{""C"": 3, ""PLACEHOLDER_0173"": 3, ""INVALID"": 2}"
174,free,8,49.19,4,0.875,30.93,1,12,"7,\frac{7}{8}",False,True,"{""7,0.875"": 7, ""8"": 1, ""0.875"": 2, ""PLACEHOLDER_0174"": 2}"
175,MCQ,I,99.0,1,INVALID,0.94,6,11,I,True,False,"{""I"": 6, ""PLACEHOLDER_0175"": 3, ""INVALID"": 2}"
176,free,\frac{p - 6k - m}{8},60.21,3,\dfrac{p-6k-m}{8},38.52,6,12,,False,False,"{""\\frac{p-6k-m}{8}"": 6, ""\\dfrac{p-6k-m}{8}"": 1, ""PLACEHOLDER_0176"": 3, ""INVALID"": 2}"
177,MCQ,I,95.11,1,E,2.52,2,12,,False,False,"{""I"": 2, ""E"": 6, ""H"": 3, ""PLACEHOLDER_0177"": 1}"
178,MCQ,C,99.0,1,INVALID,1.27,7,12,C,True,False,"{""C"": 7, ""PLACEHOLDER_0178"": 3, ""INVALID"": 2}"
179,free,"29, 3, 21, 1, 21, 4, 19, 4, 23, 3",97.68,1,3,6.66,5,12,"29,3,21,1,21,4,19,4,23,3",True,False,"{""29,3,21,1,21,4,19,4,23,3"": 5, ""3"": 2, ""PLACEHOLDER_0179"": 3, ""30"": 2}"
180,free,\dfrac{1}{2}m - \dfrac{7}{2},55.5,4,\dfrac{m-7}{2},35.77,1,12,,False,False,"{""\\frac{1}{2}m-\\frac{7}{2}"": 5, ""\\dfrac{1}{2}m-\\dfrac{7}{2}"": 1, ""\\dfrac{m-7}{2}"": 2, ""-\\dfrac{7}{2}+\\dfrac{1}{2}m"": 3, ""PLACEHOLDER_0180"": 1}"
181,MCQ,D,55.78,4,B,36.78,1,12,,False,False,"{""B"": 5, ""A"": 4, ""D"": 1, ""PLACEHOLDER_0181"": 2}"
182,MCQ,E,77.43,3,H,14.5,8,12,,False,False,"{""E"": 8, ""H"": 3, ""PLACEHOLDER_0182"": 1}"
183,MCQ,D,99.0,1,INVALID,1.27,7,12,D,True,False,"{""D"": 7, ""PLACEHOLDER_0183"": 3, ""INVALID"": 2}"
184,MCQ,A,95.11,1,J,2.52,2,12,,False,False,"{""A"": 2, ""J"": 6, ""E"": 3, ""PLACEHOLDER_0184"": 1}"
185,free,"T, F, T, F, T",97.68,1,T,6.66,5,12,"T,F,T,F,T",True,False,"{""T,F,T,F,T"": 5, ""T"": 2, ""PLACEHOLDER_0185"": 3, ""INVALID"": 2}"
186,MCQ,D,99.0,1,INVALID,1.27,7,12,D,True,False,"{""D"": 7, ""PLACEHOLDER_0186"": 3, ""INVALID"": 2}"
187,free,"0.0281, 0.0067, 0.3825, 0.4512, 22.00, 18.00, 2, 35.00, 30.00",41.16,4,"45,38",20.27,2,12,,False,False,"{""0.0281,0.0067,0.3825,0.4512,22,18,2,35,30"": 2, ""45,38"": 1, ""0.02172,0.003215,0.35,0.42,24,18,2,30,22"": 1, ""1.1027,0.0424,0.7113,0.716,46,44,2,51,49"": 3, ""28"": 1, ""22"": 1, ""1.0734,0.0474,0.7673,0.7611,38,36,2,44,43"": 2, ""PLACEHOLDER_0187"": 1}"
188,free,61,49.19,4,60,30.93,1,12,"60,60,60",False,True,"{""60,60,60"": 7, ""61"": 1, ""60"": 2, ""PLACEHOLDER_0188"": 2}"
189,free,850a + 1200r = 35000,99.0,1,8.5012e+11,1.27,7,12,850a+1200r=35000,True,False,"{""850a+1200r=35000"": 7, ""PLACEHOLDER_0189"": 3, ""8.5012e+11"": 2}"
190,free,-\frac{21}{8},92.2,1,-\dfrac{21}{8},11.95,6,12,-\frac{21}{8},True,False,"{""-2.625"": 6, ""-\\dfrac{21}{8}"": 1, ""PLACEHOLDER_0190"": 3, ""-217"": 2}"
191,free,"D, A, C, B, E",97.68,1,E,6.66,5,12,"D,A,C,B,E",True,False,"{""D,A,C,B,E"": 5, ""E"": 2, ""PLACEHOLDER_0191"": 3, ""INVALID"": 2}"
192,free,A,35.28,5,"1.059,(1.881,\infty),0.1449,A",32.6,4,12,,False,False,"{""A"": 4, ""1.059,(1.881,\\infty),0.1449,A"": 1, ""1.059,(1.881,\\infty),0.1446,A"": 1, ""0.86,(1.88,\\mathrm{infty}),0.1953,A"": 3, ""1.06,(1.88,infty),0.1446,A"": 2, ""PLACEHOLDER_0192"": 1}"
193,MCQ,C,75.28,3,A,14.19,1,12,"A, C, D",False,True,"{""A"": 9, ""C"": 1, ""PLACEHOLDER_0193"": 2}"
194,free,"600.0,\ July,\ 1908,\ 890.0,\ March,\ 1907",28.0,5,"March,1907",27.16,1,9,,False,False,"{""600,\\July,\\1908,\\890.0,\\March,\\1907"": 1, ""March,1907"": 1, ""\\text{June},1908"": 1, ""600,September,1907,345,July,1906"": 1, ""600,July,1908,890,March,1907"": 2, ""June,1908"": 1, ""PLACEHOLDER_0194"": 2}"
195,free,"-2.445, -0.7553",47.97,4,"(-2.445,-0.7554)",23.62,2,12,,False,False,"{""-2.445,-0.7553"": 2, ""(-2.445,-0.7554)"": 1, ""(-2.373,-0.8265)"": 2, ""(-2.386,-0.814)"": 3, ""-0.8045"": 1, ""(-2.47,\\-0.73)"": 2, ""PLACEHOLDER_0195"": 1}"
196,free,15,43.8,4,35,39.79,1,12,"14.7447, 10.3244, 35",False,True,"{""14.7447,10.3244,35"": 6, ""35"": 3, ""15"": 1, ""PLACEHOLDER_0196"": 2}"
197,free,"3, 4",99.0,1,4,0.36,5,12,"3,4",True,False,"{""3,4"": 5, ""4"": 4, ""PLACEHOLDER_0197"": 3}"
198,free,5,63.1,3,24,25.61,1,8,,False,False,"{""24"": 4, ""5"": 1, ""2"": 1, ""PLACEHOLDER_0198"": 2}"
199,free,47,95.51,1,27,2.11,2,8,,False,False,"{""47"": 2, ""51"": 3, ""27"": 2, ""PLACEHOLDER_0199"": 1}"
200,MCQ,I,99.0,1,INVALID,1.27,7,12,I,True,False,"{""I"": 7, ""PLACEHOLDER_0200"": 3, ""INVALID"": 2}"
201,free,(5t+8)^2,55.37,4,1(5t+8)(5t+8),37.42,1,12,,False,False,"{""1(5t+8)(5t+8)"": 7, ""(5t+8)^2"": 1, ""(5t+8)(5t+8)"": 2, ""PLACEHOLDER_0201"": 2}"
202,free,5436,52.97,4,1.54286,19.29,1,12,\frac{54}{35},False,True,"{""1.54286"": 7, ""54/35"": 2, ""5436"": 1, ""PLACEHOLDER_0202"": 2}"
203,MCQ,I,92.2,1,H,11.95,6,12,I,True,False,"{""I"": 6, ""H"": 1, ""PLACEHOLDER_0203"": 3, ""INVALID"": 2}"
204,MCQ,B,76.66,3,S,13.36,1,6,,False,False,"{""B"": 1, ""E"": 2, ""S"": 1, ""PLACEHOLDER_0204"": 2}"
205,free,\dfrac{11}{20},35.74,5,0.55,35.16,1,12,,False,False,"{""0.75,0.55"": 6, ""\\frac34,0.55"": 3, ""\\dfrac{11}{20}"": 1, ""0.55"": 1, ""PLACEHOLDER_0205"": 1}"
206,free,4,99.0,1,5,1.27,7,12,4,True,False,"{""4"": 7, ""PLACEHOLDER_0206"": 3, ""5"": 2}"
207,free,146,81.65,2,2.8,7.94,1,12,\frac{14}{5},False,True,"{""2.8"": 9, ""146"": 1, ""PLACEHOLDER_0207"": 2}"
208,free,"16.2, \dfrac{720}{49\pi}",26.25,5,4.677,30.13,1,12,"\frac{81}{5},\frac{720}{49\pi}",False,True,"{""16.2,4.677"": 4, ""4.677"": 3, ""16.2,\\dfrac{720}{49\\pi}"": 1, ""16.2,\\frac{720}{49\\pi}"": 2, ""PLACEHOLDER_0208"": 2}"
209,MCQ,B,99.0,1,INVALID,1.27,7,12,B,True,False,"{""B"": 7, ""PLACEHOLDER_0209"": 3, ""INVALID"": 2}"
210,free,"-\frac{49\sqrt{3} + 16\sqrt{33}}{15}, \frac{2x}{x^2 + 1}",37.29,5,\dfrac{2x}{x^2+1},30.67,1,12,,False,False,"{""-\\frac{49\\sqrt{3}+16\\sqrt{33}}{15},\\frac{2x}{x^2+1}"": 1, ""\\dfrac{2x}{x^2+1}"": 4, ""\\dfrac{-16\\sqrt{33}-49\\sqrt{3}}{15},\\dfrac{2x}{x^2+1}"": 1, ""-\\frac{25\\sqrt3+16\\sqrt{33}}{15},\\frac{2x}{1+x^2}"": 3, ""-\\frac{16\\sqrt{33}+49\\sqrt{3}}{15},\\frac{2x}{1+x^2}"": 2, ""PLACEHOLDER_0210"": 1}"
211,MCQ,I,74.09,3,G,16.65,4,8,,False,False,"{""I"": 4, ""G"": 3, ""PLACEHOLDER_0211"": 1}"
212,MCQ,J,99.0,1,INVALID,1.27,7,12,J,True,False,"{""J"": 7, ""PLACEHOLDER_0212"": 3, ""INVALID"": 2}"
213,free,\frac{2}{9},91.65,1,\dfrac{2}{9},12.47,4,12,\frac{2}{9},True,False,"{""0.222222"": 4, ""\\dfrac{2}{9}"": 3, ""PLACEHOLDER_0213"": 3, ""30"": 2}"
214,free,"11, F, 7, T",33.41,5,12,34.24,5,12,"11,F,10,T",False,True,"{""11,F,7,T"": 5, ""12"": 1, ""T"": 2, ""11,F,10,T"": 2, ""PLACEHOLDER_0214"": 2}"
215,free,752,77.43,3,755,14.5,8,12,,False,False,"{""752"": 8, ""755"": 3, ""PLACEHOLDER_0215"": 1}"
216,free,60,99.0,1,61,1.27,7,12,60,True,False,"{""60"": 7, ""PLACEHOLDER_0216"": 3, ""61"": 2}"
217,MCQ,C,99.0,1,INVALID,1.27,7,12,C,True,False,"{""C"": 7, ""PLACEHOLDER_0217"": 3, ""INVALID"": 2}"
218,free,0.775,55.37,4,0.7754,37.42,1,12,,False,False,"{""0.7754"": 7, ""0.775"": 1, ""\\arcsin\\!(\\frac{7}{10})"": 2, ""PLACEHOLDER_0218"": 2}"
219,free,27,99.0,1,28,1.27,7,12,27,True,False,"{""27"": 7, ""PLACEHOLDER_0219"": 3, ""28"": 2}"
220,MCQ,A,99.0,1,INVALID,1.27,7,12,A,True,False,"{""A"": 7, ""PLACEHOLDER_0220"": 3, ""INVALID"": 2}"
221,free,2750,99.0,1,2751,1.27,7,12,2750,True,False,"{""2750"": 7, ""PLACEHOLDER_0221"": 3, ""2751"": 2}"
222,MCQ,C,69.84,3,S,29.4,5,8,,False,False,"{""C"": 5, ""S"": 1, ""PLACEHOLDER_0222"": 2}"
223,MCQ,A,91.65,1,C,12.47,4,12,A,True,False,"{""A"": 4, ""C"": 3, ""PLACEHOLDER_0223"": 3, ""INVALID"": 2}"
224,free,2643,99.0,1,2644,1.27,7,12,2643,True,False,"{""2643"": 7, ""PLACEHOLDER_0224"": 3, ""2644"": 2}"
225,free,"0.6254, 4, 2.776, A",37.22,5,"0.625,4,2.776,A",32.44,1,12,,False,False,"{""0.6254,4,2.776,A"": 1, ""A"": 4, ""0.625,4,2.776,A"": 1, ""0.6,4,2.776,A"": 3, ""0.6253,4,2.776,A"": 2, ""PLACEHOLDER_0225"": 1}"
226,free,8,99.0,1,9,1.27,7,12,8,True,False,"{""8"": 7, ""PLACEHOLDER_0226"": 3, ""9"": 2}"
227,free,"9, C",33.41,5,INVALID,34.24,5,12,"A,C",False,True,"{""9,C"": 5, ""INVALID"": 1, ""C"": 2, ""A,C"": 2, ""PLACEHOLDER_0227"": 2}"
228,free,v^7,77.43,3,v^{7},14.5,8,12,,False,False,"{""v^7"": 8, ""v^{7}"": 3, ""PLACEHOLDER_0228"": 1}"
229,free,n-2,76.66,3,0,13.36,1,6,,False,False,"{""n-2"": 1, ""n-1"": 2, ""0"": 1, ""PLACEHOLDER_0229"": 2}"
230,free,-2.424,96.23,1,x=\frac{\ln(0.32)}{\ln(1.6)}=-2.424,1.77,6,12,,False,False,"{""-2.424"": 6, ""\\frac{\\log(8/25)}{\\log(1.6)}"": 3, ""x=\\frac{\\ln(0.32)}{\\ln(1.6)}=-2.424"": 2, ""PLACEHOLDER_0230"": 1}"
231,free,"4.742, 0.5161",85.57,2,0.5161x+4.742,11.96,5,12,,False,False,"{""4.742,0.5161"": 5, ""y=\\frac{16}{31}x+\\frac{1029}{217}"": 3, ""0.5161x+4.742"": 1, ""y=\\frac{147}{31}+\\frac{16}{31}x"": 2, ""PLACEHOLDER_0231"": 1}"
232,free,41,45.37,4,3,37.42,1,12,"40, 37, 3",False,True,"{""3"": 7, ""41"": 1, ""40,37,3"": 2, ""PLACEHOLDER_0232"": 2}"
233,free,"1.960,\ -1.960,\ -5.177,\ B",54.38,4,"1.96,-1.96,-5.18",30.4,1,12,,False,False,"{""1.96,\\-1.960,\\-5.177,\\B"": 1, ""B"": 6, ""1.96,-1.96,-5.18"": 1, ""1.96,-1.96,-5.18,B"": 2, ""PLACEHOLDER_0233"": 2}"
234,free,29x^7 + 6x^5,84.12,2,29x^{7}+6x^{5},15.33,8,12,,False,False,"{""29x^7+6x^5"": 8, ""29x^{7}+6x^{5}"": 2, ""PLACEHOLDER_0234"": 2}"
235,MCQ,B,99.0,1,INVALID,0.94,6,11,B,True,False,"{""B"": 6, ""PLACEHOLDER_0235"": 3, ""INVALID"": 2}"
236,free,"6e, -6",97.68,1,-6,6.66,5,12,"6e,-6",True,False,"{""6e,-6"": 5, ""-6"": 2, ""PLACEHOLDER_0236"": 3, ""7"": 2}"
237,free,51,45.37,4,50,37.42,1,12,50\%,False,True,"{""50"": 7, ""51"": 1, ""50\\%"": 2, ""PLACEHOLDER_0237"": 2}"
238,free,"-61, 61, 62",97.68,1,62,6.66,5,12,"-61,\,61,\,62",True,False,"{""-61,61,62"": 5, ""62"": 2, ""PLACEHOLDER_0238"": 3, ""-60"": 2}"
239,free,3.450,56.6,4,"35,3.472",28.45,2,12,,False,False,"{""35,3.45"": 3, ""3.45"": 2, ""35,3.472"": 1, ""35,3.449"": 3, ""3.472"": 2, ""PLACEHOLDER_0239"": 1}"
240,free,"12\text{ s},4.9\text{ ft},3.3\text{ ft}",51.61,4,3.3,42.89,1,12,,False,False,"{""12,4.9,3.3"": 6, ""3.3"": 3, ""12\\text{s},4.9\\text{ft},3.3\\text{ft}"": 1, ""PLACEHOLDER_0240"": 2}"
241,MCQ,B,99.0,1,INVALID,1.27,7,12,B,True,False,"{""B"": 7, ""PLACEHOLDER_0241"": 3, ""INVALID"": 2}"
242,free,"241.2, 239.5, 233, 221.7, 14.89, 6.173",45.53,4,"241.2,239.5,233,221.7,14.89,6.172",31.74,2,12,,False,False,"{""241.2,239.5,233,221.7,14.89,6.173"": 2, ""241.2,239.5,233,221.7,14.89,6.172"": 2, ""241.22,239.5,233,205.48,14.33,5.94\\%"": 3, ""6.173"": 1, ""6.172"": 1, ""241.22,239.5,233,162.89,12.76,5.29\\%"": 2, ""PLACEHOLDER_0242"": 1}"
243,free,1,31.2,5,0.215,30.47,1,12,"0.8925, 0.2150",False,True,"{""0.8925,0.215"": 4, ""0.8925,0.2151"": 2, ""0.215"": 3, ""1"": 1, ""PLACEHOLDER_0243"": 2}"
244,MCQ,F,99.0,1,INVALID,1.27,7,12,F,True,False,"{""F"": 7, ""PLACEHOLDER_0244"": 3, ""INVALID"": 2}"
245,free,980,99.0,1,981,1.27,7,12,980,True,False,"{""980"": 7, ""PLACEHOLDER_0245"": 3, ""981"": 2}"
246,free,"25.00, 23.00, 17.00, 23.00, 19.00",97.68,1,19,6.66,5,12,"25,23,17,23,19",True,False,"{""25,23,17,23,19"": 5, ""19"": 2, ""PLACEHOLDER_0246"": 3, ""26"": 2}"
247,free,"2474, \dfrac{2474}{1 + 37.06 e^{-0.53t}}, 2474",39.7,5,2474,29.06,1,12,,False,False,"{""2474,\\dfrac{2474}{1+37.06e^{-0.53t}},2474"": 1, ""2474"": 4, ""2473.8"": 2, ""A\\approx37.062,\\N(t)=\\dfrac{2474}{1+37.062e^{-0.53t}},\\N(25)\\approx2474"": 1, ""37.0615,\\frac{2474}{1+\\frac{2409}{65}e^{-0.53t}},2473.84"": 2, ""PLACEHOLDER_0247"": 2}"
248,free,180,74.09,3,0,16.65,4,8,,False,False,"{""180"": 4, ""0"": 3, ""PLACEHOLDER_0248"": 1}"
249,MCQ,G,99.0,1,INVALID,1.27,7,12,G,True,False,"{""G"": 7, ""PLACEHOLDER_0249"": 3, ""INVALID"": 2}"
250,free,48,95.51,1,cohomological,2.11,2,8,,False,False,"{""48"": 2, ""126"": 3, ""cohomological"": 2, ""PLACEHOLDER_0250"": 1}"
251,free,173,45.37,4,172.7,37.42,1,12,172.7\%,False,True,"{""172.7"": 7, ""173"": 1, ""172.7\\%"": 2, ""PLACEHOLDER_0251"": 2}"
252,free,C,99.0,1,INVALID,1.27,7,12,C,True,False,"{""C"": 7, ""PLACEHOLDER_0252"": 3, ""INVALID"": 2}"
253,MCQ,E,77.43,3,I,14.5,8,12,,False,False,"{""E"": 8, ""I"": 3, ""PLACEHOLDER_0253"": 1}"
254,MCQ,H,99.0,1,INVALID,1.27,7,12,H,True,False,"{""H"": 7, ""PLACEHOLDER_0254"": 3, ""INVALID"": 2}"
255,MCQ,H,46.42,4,I,33.34,2,12,,False,False,"{""A"": 5, ""H"": 2, ""E"": 3, ""I"": 1, ""PLACEHOLDER_0255"": 1}"
256,free,"-30, 30",97.68,1,30,6.66,5,12,"-30,30",True,False,"{""-30,30"": 5, ""30"": 2, ""PLACEHOLDER_0256"": 3, ""-29"": 2}"
257,free,3,45.37,4,A,37.42,1,12,"2.52, 3.00, A",False,True,"{""A"": 7, ""3"": 1, ""2.52,3,A"": 2, ""PLACEHOLDER_0257"": 2}"
258,MCQ,C,99.0,1,INVALID,1.27,7,12,C,True,False,"{""C"": 7, ""PLACEHOLDER_0258"": 3, ""INVALID"": 2}"
